#DOCS: 85257.0, #TOPICS: 2
Init: [488073667, 468900816, 367694045, 395759382, 369616061, 413361915, 397533801, 374827614, 378986328, 381548391, 381033860]
Execute: [82680192439, 72168371397, 75547309932, 71873667119, 72622371046, 72359030781, 73571885614, 72595944027, 72068771640, 72703262137, 73118440822]
Analyze: [59592, 44973, 54254, 31556, 26506, 31437, 36680, 28777, 30367, 29349, 17732]
Execute + Analyze: [82680252031, 72168416370, 75547364186, 71873698675, 72622397552, 72359062218, 73571922294, 72595972804, 72068802007, 72703291486, 73118458554]
Total: [83168325698, 72637317186, 75915058231, 72269458057, 72992013613, 72772424133, 73969456095, 72970800418, 72447788335, 73084839877, 73499492414]
#DOCS: 85257.0, #TOPICS: 4
Init: [375200779, 377140859, 381453355, 381818015, 380675328, 370486718, 385583316, 382275873, 378845508, 384415243, 377007537]
Execute: [88782649432, 88499627021, 88856822765, 88535481385, 88552394344, 91443437104, 88481429212, 88471961613, 88729156270, 88531202293, 88508221182]
Analyze: [23049, 24442, 21275, 30897, 18386, 23074, 25178, 25681, 22814, 27018, 16741]
Execute + Analyze: [88782672481, 88499651463, 88856844040, 88535512282, 88552412730, 91443460178, 88481454390, 88471987294, 88729179084, 88531229311, 88508237923]
Total: [89157873260, 88876792322, 89238297395, 88917330297, 88933088058, 91813946896, 88867037706, 88854263167, 89108024592, 88915644554, 88885245460]
#DOCS: 85257.0, #TOPICS: 6
Init: [370721165, 344198526, 348133211, 350334762, 345541575, 346297589, 352324994, 404462945, 397681715, 413150450, 378737610]
Execute: [90610188201, 90755553800, 91309402481, 91395394533, 91667765882, 91908536236, 91462320873, 90787793249, 90666514743, 90648725878, 90681622587]
Analyze: [14971, 15522, 15640, 16101, 19794, 28499, 20742, 16728, 15373, 19452, 20792]
Execute + Analyze: [90610203172, 90755569322, 91309418121, 91395410634, 91667785676, 91908564735, 91462341615, 90787809977, 90666530116, 90648745330, 90681643379]
Total: [90980924337, 91099767848, 91657551332, 91745745396, 92013327251, 92254862324, 91814666609, 91192272922, 91064211831, 91061895780, 91060380989]
#DOCS: 85257.0, #TOPICS: 8
Init: [381183648, 392343992, 364767618, 384521912, 381104681, 381156920, 381917164, 381816590, 377483263, 379373968, 382615634]
Execute: [93680092040, 91318617885, 93320901762, 93806897343, 95679443757, 94176621539, 94151576481, 94276399171, 94176585918, 93982007526, 93876489084]
Analyze: [17942, 16694, 28642, 19521, 17719, 17028, 16825, 14736, 18674, 21444, 15739]
Execute + Analyze: [93680109982, 91318634579, 93320930404, 93806916864, 95679461476, 94176638567, 94151593306, 94276413907, 94176604592, 93982028970, 93876504823]
Total: [94061293630, 91710978571, 93685698022, 94191438776, 96060566157, 94557795487, 94533510470, 94658230497, 94554087855, 94361402938, 94259120457]
#DOCS: 85257.0, #TOPICS: 10
Init: [401364262, 367335819, 387931816, 380298700, 427009945, 371185987, 376315030, 377496147, 381261565, 367279858, 366690530]
Execute: [95355501911, 98108090195, 98075178968, 98252317254, 92776031342, 97281515490, 97528854797, 98062493842, 96075287172, 97217935317, 97910755496]
Analyze: [17432, 19399, 20086, 21261, 18717, 18155, 19468, 17594, 15001, 18040, 17321]
Execute + Analyze: [95355519343, 98108109594, 98075199054, 98252338515, 92776050059, 97281533645, 97528874265, 98062511436, 96075302173, 97217953357, 97910772817]
Total: [95756883605, 98475445413, 98463130870, 98632637215, 93203060004, 97652719632, 97905189295, 98440007583, 96456563738, 97585233215, 98277463347]
